COGS,Country,Discount Band,Year,Quarter,Month,Day,Discounts,Gross Sales,Manufacturing Price,Month Name,Product,Month Number,Profit,Sale Price,Sales,Segment,Units Sold,Year
4635,Germany,None,2014,Qtr 2,June,1,0,18540,120,June,Velo,6,13905,12,18540,Channel Partners,1545,2014
4740,Germany,Medium,2014,Qtr 3,September,1,1706.4,18960,3,September,Carretera,9,12513.6,12,17253.6,Channel Partners,1580,2014
4900,France,Medium,2014,Qtr 4,November,1,588,7350,3,November,Carretera,11,1862,15,6762,Midmarket,490,2014
4920,Germany,High,2014,Qtr 3,July,1,1107,7380,250,July,VTT,7,1353,15,6273,Midmarket,492,2014
5080,Germany,Medium,2013,Qtr 4,November,1,355.6,7112,3,November,Carretera,11,1676.4,7,6756.4,Government,1016,2013
5100,Germany,High,2014,Qtr 2,April,1,765,7650,120,April,Velo,4,1785,15,6885,Midmarket,510,2014
5150,France,Low,2014,Qtr 2,May,1,72.1,7210,10,May,Paseo,5,1987.9,7,7137.9,Government,1030,2014
5155,France,Medium,2013,Qtr 3,September,1,505.19,7217,10,September,Paseo,9,1556.81,7,6711.81,Government,1031,2013
5202,France,High,2014,Qtr 1,January,1,2288.88,20808,250,January,VTT,1,13317.12,12,18519.12,Channel Partners,1734,2014
5215.5,France,Medium,2014,Qtr 2,April,1,1460.34,20862,250,April,VTT,4,14186.16,12,19401.66,Channel Partners,1738.5,2014
5310,Germany,High,2013,Qtr 4,December,1,2761.2,21240,260,December,Amarilla,12,13168.8,12,18478.8,Channel Partners,1770,2013
5325,Germany,Medium,2013,Qtr 4,November,1,1917,21300,10,November,Paseo,11,14058,12,19383,Channel Partners,1775,2013
5355,France,Low,2013,Qtr 4,November,1,428.4,21420,10,November,Paseo,11,15636.6,12,20991.6,Channel Partners,1785,2013
5418,United States of America,High,2014,Qtr 2,May,1,3250.8,21672,250,May,VTT,5,13003.2,12,18421.2,Channel Partners,1806,2014
5440,Mexico,Low,2013,Qtr 4,December,1,217.6,10880,120,December,Velo,12,5222.4,20,10662.4,Government,544,2013
5475,Germany,Medium,2014,Qtr 2,May,1,613.2,7665,10,May,Paseo,5,1576.8,7,7051.8,Government,1095,2014
5490,France,None,2013,Qtr 3,September,1,0,8235,10,September,Paseo,9,2745,15,8235,Midmarket,549,2013
5550,United States of America,Medium,2014,Qtr 1,January,1,416.25,8325,120,January,Velo,1,2358.75,15,7908.75,Midmarket,555,2014
5574,United States of America,Low,2014,Qtr 1,February,1,222.96,22296,3,February,Carretera,2,16499.04,12,22073.04,Channel Partners,1858,2014
5595,France,Medium,2014,Qtr 1,February,1,1119,22380,3,February,Carretera,2,15666,12,21261,Channel Partners,1865,2014
5652,Canada,Medium,2014,Qtr 3,August,1,1582.56,22608,3,August,Carretera,8,15373.44,12,21025.44,Channel Partners,1884,2014
5675,Canada,Medium,2014,Qtr 2,June,1,556.15,7945,120,June,Velo,6,1713.85,7,7388.85,Government,1135,2014
5675,Canada,Medium,2014,Qtr 2,June,1,556.15,7945,260,June,Amarilla,6,1713.85,7,7388.85,Government,1135,2014
5703,France,Low,2014,Qtr 2,June,1,684.36,22812,5,June,Montana,6,16424.64,12,22127.64,Channel Partners,1901,2014
5703,France,Low,2014,Qtr 2,June,1,684.36,22812,10,June,Paseo,6,16424.64,12,22127.64,Channel Partners,1901,2014
5715,United States of America,None,2014,Qtr 4,October,1,0,8001,10,October,Paseo,10,2286,7,8001,Government,1143,2014
5715,United States of America,None,2014,Qtr 4,October,1,0,8001,260,October,Amarilla,10,2286,7,8001,Government,1143,2014
5748,Mexico,Low,2014,Qtr 2,April,1,689.76,22992,250,April,VTT,4,16554.24,12,22302.24,Channel Partners,1916,2014
5795,Germany,Medium,2013,Qtr 4,October,1,405.65,8113,5,October,Montana,10,1912.35,7,7707.35,Government,1159,2013
5795,Germany,Medium,2013,Qtr 4,October,1,405.65,8113,260,October,Amarilla,10,1912.35,7,7707.35,Government,1159,2013
5811,Canada,High,2014,Qtr 1,February,1,2556.84,23244,3,February,Carretera,2,14876.16,12,20687.16,Channel Partners,1937,2014
5841,United States of America,Low,2014,Qtr 3,September,1,700.92,23364,3,September,Carretera,9,16822.08,12,22663.08,Channel Partners,1947,2014
5859,United States of America,None,2014,Qtr 2,April,1,0,23436,260,April,Amarilla,4,17577,12,23436,Channel Partners,1953,2014
5868,United States of America,Medium,2014,Qtr 1,January,1,2112.48,23472,250,January,VTT,1,15491.52,12,21359.52,Channel Partners,1956,2014
5880,Germany,Medium,2013,Qtr 4,December,1,823.2,11760,120,December,Velo,12,5056.8,20,10936.8,Government,588,2013
5901,France,Medium,2014,Qtr 1,March,1,2124.36,23604,120,March,Velo,3,15578.64,12,21479.64,Channel Partners,1967,2014
5950,France,High,2014,Qtr 2,June,1,1082.9,8330,120,June,Velo,6,1297.1,7,7247.1,Government,1190,2014
5950,France,High,2014,Qtr 2,June,1,1082.9,8330,260,June,Amarilla,6,1297.1,7,7247.1,Government,1190,2014
5967,United States of America,Low,2013,Qtr 3,September,1,238.68,23868,260,September,Amarilla,9,17662.32,12,23629.32,Channel Partners,1989,2013
6045,United States of America,High,2013,Qtr 4,December,1,3385.2,24180,260,December,Amarilla,12,14749.8,12,20794.8,Channel Partners,2015,2013
6060,United States of America,High,2014,Qtr 2,April,1,1696.8,12120,120,April,Velo,4,4363.2,20,10423.2,Government,606,2014
6090,Mexico,Medium,2014,Qtr 3,August,1,852.6,12180,120,August,Velo,8,5237.4,20,11327.4,Government,609,2014
6150,United States of America,None,2014,Qtr 4,December,1,0,9225,5,December,Montana,12,3075,15,9225,Midmarket,615,2014
6150,United States of America,None,2014,Qtr 4,December,1,0,9225,260,December,Amarilla,12,3075,15,9225,Midmarket,615,2014
6295,Germany,Medium,2014,Qtr 2,April,1,705.04,8813,10,April,Paseo,4,1812.96,7,8107.96,Government,1259,2014
6327,Canada,High,2014,Qtr 2,May,1,3036.96,25308,250,May,VTT,5,15944.04,12,22271.04,Channel Partners,2109,2014
6410,Mexico,High,2014,Qtr 3,July,1,961.5,9615,250,July,VTT,7,2243.5,15,8653.5,Midmarket,641,2014
6423,United States of America,None,2014,Qtr 3,August,1,0,25692,260,August,Amarilla,8,19269,12,25692,Channel Partners,2141,2014
6450,Germany,Medium,2014,Qtr 3,July,1,1032,12900,5,July,Montana,7,5418,20,11868,Government,645,2014
6483,Germany,None,2014,Qtr 1,March,1,0,25932,120,March,Velo,3,19449,12,25932,Channel Partners,2161,2014
6490,United States of America,High,2014,Qtr 1,February,1,1181.18,9086,5,February,Montana,2,1414.82,7,7904.82,Government,1298,2014
6550,Mexico,High,2013,Qtr 3,September,1,1080.75,9825,120,September,Velo,9,2194.25,15,8744.25,Midmarket,655,2013
6600,Germany,High,2013,Qtr 3,September,1,1287,9900,120,September,Velo,9,2013,15,8613,Midmarket,660,2013
6630,Canada,Low,2014,Qtr 1,March,1,92.82,9282,250,March,VTT,3,2559.18,7,9189.18,Government,1326,2014
6630,Germany,Medium,2014,Qtr 2,May,1,1193.4,13260,3,May,Carretera,5,5436.6,20,12066.6,Government,663,2014
6645,Germany,Medium,2013,Qtr 3,September,1,1860.6,26580,250,September,VTT,9,18074.4,12,24719.4,Channel Partners,2215,2013
6665,Mexico,Medium,2014,Qtr 4,November,1,559.86,9331,120,November,Velo,11,2106.14,7,8771.14,Government,1333,2014
6666,Canada,High,2013,Qtr 4,November,1,3732.96,26664,10,November,Paseo,11,16265.04,12,22931.04,Channel Partners,2222,2013
6702,France,Medium,2013,Qtr 3,September,1,2412.72,26808,250,September,VTT,9,17693.28,12,24395.28,Channel Partners,2234,2013
6710,United States of America,Low,2013,Qtr 4,October,1,402.6,10065,10,October,Paseo,10,2952.4,15,9662.4,Midmarket,671,2013
6710,United States of America,Low,2013,Qtr 4,October,1,402.6,10065,260,October,Amarilla,10,2952.4,15,9662.4,Midmarket,671,2013
6770,United States of America,High,2014,Qtr 1,March,1,1218.6,10155,5,March,Montana,3,2166.4,15,8936.4,Midmarket,677,2014
6810,Germany,High,2014,Qtr 1,January,1,1021.5,10215,120,January,Velo,1,2383.5,15,9193.5,Midmarket,681,2014
6840,Mexico,High,2014,Qtr 1,February,1,1436.4,9576,5,February,Montana,2,1299.6,7,8139.6,Government,1368,2014
6860,Germany,Medium,2014,Qtr 1,January,1,480.2,9604,10,January,Paseo,1,2263.8,7,9123.8,Government,1372,2014
6897,Canada,Medium,2013,Qtr 4,October,1,1655.28,27588,3,October,Carretera,10,19035.72,12,25932.72,Channel Partners,2299,2013
6897,Canada,Medium,2013,Qtr 4,October,1,1655.28,27588,10,October,Paseo,10,19035.72,12,25932.72,Channel Partners,2299,2013
6963,Canada,Medium,2014,Qtr 4,November,1,2506.68,27852,5,November,Montana,11,18382.32,12,25345.32,Channel Partners,2321,2014
7015,France,Medium,2013,Qtr 4,October,1,589.26,9821,5,October,Montana,10,2216.74,7,9231.74,Government,1403,2013
7015,France,Medium,2013,Qtr 4,October,1,589.26,9821,260,October,Amarilla,10,2216.74,7,9231.74,Government,1403,2013
7020,Mexico,Medium,2014,Qtr 1,January,1,1965.6,28080,5,January,Montana,1,19094.4,12,26114.4,Channel Partners,2340,2014
7026,France,Medium,2014,Qtr 4,November,1,1967.28,28104,5,November,Montana,11,19110.72,12,26136.72,Channel Partners,2342,2014
7026,Germany,Medium,2014,Qtr 4,November,1,1405.2,28104,5,November,Montana,11,19672.8,12,26698.8,Channel Partners,2342,2014
7080,Canada,Medium,2014,Qtr 2,June,1,1132.8,14160,5,June,Montana,6,5947.2,20,13027.2,Government,708,2014
7080,Canada,Medium,2014,Qtr 2,June,1,1132.8,14160,260,June,Amarilla,6,5947.2,20,13027.2,Government,708,2014
7110,Germany,Medium,2014,Qtr 4,December,1,853.2,10665,5,December,Montana,12,2701.8,15,9811.8,Midmarket,711,2014
7110,Germany,Medium,2014,Qtr 4,December,1,853.2,10665,260,December,Amarilla,12,2701.8,15,9811.8,Midmarket,711,2014
7192.5,United States of America,High,2014,Qtr 1,January,1,1309.035,10069.5,10,January,Paseo,1,1567.965,7,8760.465,Government,1438.5,2014
7276.5,France,High,2014,Qtr 3,July,1,3201.66,29106,10,July,Paseo,7,18627.84,12,25904.34,Channel Partners,2425.5,2014
7293,Canada,Medium,2014,Qtr 4,December,1,1458.6,29172,10,December,Paseo,12,20420.4,12,27713.4,Channel Partners,2431,2014
7293,Canada,Medium,2014,Qtr 4,December,1,1458.6,29172,120,December,Velo,12,20420.4,12,27713.4,Channel Partners,2431,2014
7360,United States of America,Low,2013,Qtr 3,September,1,588.8,14720,120,September,Velo,9,6771.2,20,14131.2,Government,736,2013
7425,France,High,2014,Qtr 3,August,1,4158,29700,260,August,Amarilla,8,18117,12,25542,Channel Partners,2475,2014
7437,Germany,Low,2014,Qtr 1,January,1,892.44,29748,250,January,VTT,1,21418.56,12,28855.56,Channel Partners,2479,2014
7455,France,High,2014,Qtr 1,March,1,1252.44,10437,250,March,VTT,3,1729.56,7,9184.56,Government,1491,2014
7465,Mexico,None,2014,Qtr 1,January,1,0,10451,120,January,Velo,1,2986,7,10451,Government,1493,2014
7470,Germany,Low,2014,Qtr 3,September,1,112.05,11205,10,September,Paseo,9,3622.95,15,11092.95,Midmarket,747,2014
7490,Mexico,Medium,2014,Qtr 2,June,1,629.16,10486,120,June,Velo,6,2366.84,7,9856.84,Government,1498,2014
7490,Mexico,Medium,2014,Qtr 2,June,1,629.16,10486,250,June,VTT,6,2366.84,7,9856.84,Government,1498,2014
7554,Canada,None,2014,Qtr 2,June,1,0,30216,5,June,Montana,6,22662,12,30216,Channel Partners,2518,2014
7554,Canada,None,2014,Qtr 2,June,1,0,30216,10,June,Paseo,6,22662,12,30216,Channel Partners,2518,2014
7722,Germany,High,2014,Qtr 3,August,1,3088.8,30888,260,August,Amarilla,8,20077.2,12,27799.2,Channel Partners,2574,2014
7895,United States of America,High,2014,Qtr 1,March,1,1215.83,11053,250,March,VTT,3,1942.17,7,9837.17,Government,1579,2014
7900,United States of America,High,2014,Qtr 2,May,1,1185,11850,120,May,Velo,5,2765,15,10665,Midmarket,790,2014
7910,Canada,Medium,2014,Qtr 4,December,1,775.18,11074,120,December,Velo,12,2388.82,7,10298.82,Government,1582,2014
7910,Canada,Medium,2014,Qtr 4,December,1,775.18,11074,250,December,VTT,12,2388.82,7,10298.82,Government,1582,2014
7983,Mexico,High,2014,Qtr 2,May,1,3831.84,31932,5,May,Montana,5,20117.16,12,28100.16,Channel Partners,2661,2014
7990,Germany,Medium,2014,Qtr 3,August,1,894.88,11186,10,August,Paseo,8,2301.12,7,10291.12,Government,1598,2014
8013,France,Low,2014,Qtr 3,September,1,320.52,32052,3,September,Carretera,9,23718.48,12,31731.48,Channel Partners,2671,2014
8055,Canada,Medium,2013,Qtr 4,December,1,1014.93,11277,5,December,Montana,12,2207.07,7,10262.07,Government,1611,2013
8169,United States of America,Medium,2014,Qtr 4,November,1,1960.56,32676,5,November,Montana,11,22546.44,12,30715.44,Channel Partners,2723,2014
8283,Canada,High,2013,Qtr 3,September,1,3975.84,33132,260,September,Amarilla,9,20873.16,12,29156.16,Channel Partners,2761,2013
8289,Mexico,Medium,2013,Qtr 4,November,1,2320.92,33156,10,November,Paseo,11,22546.08,12,30835.08,Channel Partners,2763,2013
8310,Canada,Low,2014,Qtr 2,May,1,498.6,16620,3,May,Carretera,5,7811.4,20,16121.4,Government,831,2014
8415,Mexico,Medium,2014,Qtr 3,July,1,589.05,11781,260,July,Amarilla,7,2776.95,7,11191.95,Government,1683,2014
8430,Germany,None,2014,Qtr 3,July,1,0,11802,260,July,Amarilla,7,3372,7,11802,Government,1686,2014
8514,Germany,None,2014,Qtr 2,April,1,0,34056,250,April,VTT,4,25542,12,34056,Channel Partners,2838,2014
8635,Mexico,High,2013,Qtr 4,October,1,1692.46,12089,5,October,Montana,10,1761.54,7,10396.54,Government,1727,2013
8635,Mexico,High,2013,Qtr 4,October,1,1692.46,12089,260,October,Amarilla,10,1761.54,7,10396.54,Government,1727,2013
8655,Canada,High,2014,Qtr 3,July,1,2596.5,17310,250,July,VTT,7,6058.5,20,14713.5,Government,865.5,2014
8655,France,High,2014,Qtr 4,October,1,1696.38,12117,10,October,Paseo,10,1765.62,7,10420.62,Government,1731,2014
8655,France,High,2014,Qtr 4,October,1,1696.38,12117,260,October,Amarilla,10,1765.62,7,10420.62,Government,1731,2014
8742,United States of America,High,2014,Qtr 4,October,1,4895.52,34968,10,October,Paseo,10,21330.48,12,30072.48,Channel Partners,2914,2014
8742,United States of America,High,2014,Qtr 4,October,1,4895.52,34968,260,October,Amarilla,10,21330.48,12,30072.48,Channel Partners,2914,2014
8800,Mexico,Low,2013,Qtr 3,September,1,369.6,12320,10,September,Paseo,9,3150.4,7,11950.4,Government,1760,2013
8880,Germany,None,2014,Qtr 2,June,1,0,13320,3,June,Carretera,6,4440,15,13320,Midmarket,888,2014
8880,Germany,None,2014,Qtr 2,June,1,0,13320,250,June,VTT,6,4440,15,13320,Midmarket,888,2014
9040,Canada,High,2014,Qtr 4,November,1,1392.16,12656,120,November,Velo,11,2223.84,7,11263.84,Government,1808,2014
9050,Mexico,High,2014,Qtr 4,October,1,2172,18100,10,October,Paseo,10,6878,20,15928,Government,905,2014
9050,Mexico,High,2014,Qtr 4,October,1,2172,18100,120,October,Velo,10,6878,20,15928,Government,905,2014
9150,Canada,Low,2014,Qtr 3,August,1,128.1,12810,5,August,Montana,8,3531.9,7,12681.9,Government,1830,2014
9210,Germany,None,2014,Qtr 1,March,1,0,13815,5,March,Montana,3,4605,15,13815,Midmarket,921,2014
9410,France,Low,2014,Qtr 4,November,1,376.4,18820,260,November,Amarilla,11,9033.6,20,18443.6,Government,941,2014
9700,Germany,Medium,2013,Qtr 4,November,1,1309.5,14550,260,November,Amarilla,11,3540.5,15,13240.5,Midmarket,970,2013
9730,Mexico,Medium,2013,Qtr 4,December,1,1089.76,13622,10,December,Paseo,12,2802.24,7,12532.24,Government,1946,2013
9730,United States of America,Medium,2014,Qtr 1,March,1,1751.4,19460,10,March,Paseo,3,7978.6,20,17708.6,Government,973,2014
9733.5,Canada,Medium,2014,Qtr 1,January,1,2725.38,38934,250,January,VTT,1,26475.12,12,36208.62,Channel Partners,3244.5,2014
9740,Mexico,None,2014,Qtr 1,February,1,0,14610,10,February,Paseo,2,4870,15,14610,Midmarket,974,2014
9790,Germany,Low,2014,Qtr 1,February,1,411.18,13706,5,February,Montana,2,3504.82,7,13294.82,Government,1958,2014
10010,Germany,Medium,2014,Qtr 3,August,1,1201.2,20020,120,August,Velo,8,8808.8,20,18818.8,Government,1001,2014
